Gas_age	d13CO2	d13CO2_stdev
95.900	-6.60	0.05
96.000	-6.60	0.05
96.100	-6.60	0.05
96.200	-6.61	0.05
96.300	-6.61	0.05
96.400	-6.61	0.05
96.500	-6.62	0.06
96.600	-6.62	0.06
96.700	-6.62	0.06
96.800	-6.62	0.06
96.900	-6.63	0.06
97.000	-6.63	0.06
97.100	-6.63	0.06
97.200	-6.64	0.06
97.300	-6.64	0.06
97.400	-6.64	0.06
97.500	-6.64	0.06
97.600	-6.65	0.06
97.700	-6.65	0.06
97.800	-6.65	0.06
97.900	-6.65	0.06
98.000	-6.66	0.06
98.100	-6.66	0.06
98.200	-6.66	0.06
98.300	-6.66	0.06
98.400	-6.67	0.06
98.500	-6.67	0.06
98.600	-6.67	0.06
98.700	-6.67	0.06
98.800	-6.67	0.06
98.900	-6.68	0.06
99.000	-6.68	0.06
99.100	-6.68	0.06
99.200	-6.68	0.06
99.300	-6.68	0.06
99.400	-6.69	0.06
99.500	-6.69	0.06
99.600	-6.69	0.06
99.700	-6.69	0.06
99.800	-6.69	0.06
99.900	-6.69	0.06
100.000	-6.69	0.06
100.100	-6.70	0.06
100.200	-6.70	0.06
100.300	-6.70	0.06
100.400	-6.70	0.06
100.500	-6.70	0.06
100.600	-6.70	0.06
100.700	-6.70	0.06
100.800	-6.70	0.06
100.900	-6.70	0.06
101.000	-6.70	0.06
101.100	-6.70	0.06
101.200	-6.70	0.06
101.300	-6.71	0.06
101.400	-6.71	0.06
101.500	-6.71	0.06
101.600	-6.71	0.06
101.700	-6.71	0.06
101.800	-6.71	0.06
101.900	-6.71	0.06
102.000	-6.71	0.06
102.100	-6.71	0.06
102.200	-6.71	0.06
102.300	-6.71	0.06
102.400	-6.71	0.06
102.500	-6.71	0.06
102.600	-6.71	0.06
102.700	-6.71	0.06
102.800	-6.71	0.06
102.900	-6.70	0.06
103.000	-6.70	0.07
103.100	-6.70	0.07
103.200	-6.70	0.07
103.300	-6.70	0.07
103.400	-6.70	0.07
103.500	-6.70	0.07
103.600	-6.70	0.06
103.700	-6.70	0.06
103.800	-6.70	0.06
103.900	-6.70	0.06
104.000	-6.70	0.06
104.100	-6.69	0.06
104.200	-6.69	0.06
104.300	-6.69	0.06
104.400	-6.69	0.06
104.500	-6.69	0.05
104.600	-6.69	0.05
104.700	-6.69	0.05
104.800	-6.68	0.05
104.900	-6.68	0.04
105.000	-6.68	0.04
105.100	-6.68	0.04
105.200	-6.68	0.04
105.300	-6.68	0.04
105.400	-6.68	0.04
105.500	-6.67	0.04
105.600	-6.67	0.04
105.700	-6.67	0.04
105.800	-6.67	0.04
105.900	-6.67	0.04
106.000	-6.67	0.04
106.100	-6.66	0.04
106.200	-6.66	0.04
106.300	-6.66	0.04
106.400	-6.66	0.04
106.500	-6.66	0.05
106.600	-6.65	0.05
106.700	-6.65	0.05
106.800	-6.65	0.05
106.900	-6.65	0.05
107.000	-6.65	0.05
107.100	-6.65	0.06
107.200	-6.65	0.06
107.300	-6.65	0.06
107.400	-6.65	0.06
107.500	-6.65	0.06
107.600	-6.65	0.06
107.700	-6.65	0.06
107.800	-6.65	0.06
107.900	-6.65	0.06
108.000	-6.65	0.06
108.100	-6.65	0.06
108.200	-6.65	0.06
108.300	-6.65	0.06
108.400	-6.65	0.06
108.500	-6.65	0.06
108.600	-6.65	0.06
108.700	-6.66	0.06
108.800	-6.66	0.06
108.900	-6.66	0.06
109.000	-6.66	0.06
109.100	-6.66	0.06
109.200	-6.66	0.06
109.300	-6.66	0.06
109.400	-6.67	0.06
109.500	-6.67	0.06
109.600	-6.67	0.06
109.700	-6.67	0.06
109.800	-6.67	0.06
109.900	-6.68	0.06
110.000	-6.68	0.06
110.100	-6.68	0.06
110.200	-6.68	0.06
110.300	-6.68	0.06
110.400	-6.69	0.06
110.500	-6.69	0.06
110.600	-6.69	0.06
110.700	-6.69	0.06
110.800	-6.69	0.06
110.900	-6.70	0.05
111.000	-6.70	0.05
111.100	-6.70	0.05
111.200	-6.70	0.05
